Population,Stat Area,CU,Year,Original Escapement Estimate,Database Estimate,Recommended Estimate,# Surveys Used in Estimate,Analysis Method (Pre 2004),Analysis Reliability (Pre 2004),Annual Est. Method,Annual Est. Classification,Recommended Method,Recommended Classification,Peak Timing Covered? (Y/N) (Peak Time),QA Comments,Annual Est. Rationale,AUC Recalculation,# of Surveys
east_arm,6,hecate_strait_mainland,1983,NA,N/I,N/I,,,,,,,,,"Stream not inspected this year, N/I is valid.",,,
east_arm,6,hecate_strait_mainland,1984,250,250,A/P,,,,,,,,,"Only 1 inspection this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to A/P.",,,1
east_arm,6,hecate_strait_mainland,1985,500,500,A/P,,F,B,,,,,N (Oct B),"Only 2 inspections this year, both done before peak. No rationale included. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,2
east_arm,6,hecate_strait_mainland,1986,500,500,A/P,,1,3,,,,,N (Oct B),"Only 1 inspection this year, done before peak. No rationale included. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to A/P.",,,1
east_arm,6,hecate_strait_mainland,1987,300,300,A/P,,1,1,,,,,Y (Oct B),"Only 1 inspection this year. No rationale included. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to A/P.",,,1
east_arm,6,hecate_strait_mainland,1988,NA,N/O,N/O,,1,1,,,,,Y (Oct B),"Only 1 inspection this year, low reliability of 1, N/O estimate is valid.",,,1
east_arm,6,hecate_strait_mainland,1989,NA,N/O,N/O,,1,1,,,,,N (Oct B),"Only 2 inspections this year, low reliability of 1, N/O estimate is valid.",,,2
east_arm,6,hecate_strait_mainland,1990,NA,Unk.,N/O,,,,,,,,N (Oct B),"Only 1 inspection this year, no method or reliability. Estimate of Unk. could be switched to N/O as an inspection took place.",,,1
east_arm,6,hecate_strait_mainland,1991,NA,N/O,N/O,,,,,,,,N (Oct B),"Only 1 inspection this year, no method or reliability. N/O is valid.",,,1
east_arm,6,hecate_strait_mainland,1992,NA,N/O,N/O,,1,1,,,,,N (Oct B),"Only 1 inspection this year, low reliability of 1. N/O is valid.",,,1
east_arm,6,hecate_strait_mainland,1993,NA,Unk.,A/P,,1,1,,,,,Y (Oct B),"Three inspections this year, no method or reliability. Estimate of Unk. could be switched to A/P as an inspection took place.",One coho seen July 07.,,3
east_arm,6,hecate_strait_mainland,1994,NA,N/I,N/I,,,,,,,,N (Oct B),"No inspections took place, N/I is valid.",,,0
east_arm,6,hecate_strait_mainland,1995,31,31,N/I,,1,1,,,,,N (Oct B),"Only 1 inspection this year, done before peak. Rationale states no coho inspection was made this season. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to N/I.",No coho inspection made this season.,,2
east_arm,6,hecate_strait_mainland,1996,150,150,A/P,,1&2,2,,,,,N (Oct B),"Only 1 inspection this year, done before peak. Rationale was not stated. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to A/P.",,,1
east_arm,6,hecate_strait_mainland,1997,100,100,A/P,,2,1,,,,,N (Oct B),"Only 1 inspection this year, done before peak. Rationale was not stated. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspection. Could be switched to A/P.",,,1
east_arm,6,hecate_strait_mainland,1998,360,360,A/P,,2,2,,,,,N (Oct B),"Only 2 inspections this year, both done before peak. No rationale included. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",Escapement estimate from observation near end of spawning period for pink and chum. Coho estmate from holding fish found in lower two thirds of system.,,2
east_arm,6,hecate_strait_mainland,1999,300,300,A/P,,1,2,,,,,N (Oct B),"Only 1 inspection this year, done before peak. Rationale was not stated. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections before peak. Could be switched to A/P.","Escapement estimate from observations during peak spawning period for pink and chum, coho from observation in holding pools below and above falls.",,1
east_arm,6,hecate_strait_mainland,2000,425,425,A/P,,2,2,,,,,N (Oct B),"Only 1 inspection this year, done before peak. Rationale was not stated. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections before peak. Could be switched to A/P.",Escapement estimate from end of escapement period for pink & chum and for coho from observations of coho found holding in upper reaches.,,1
east_arm,6,hecate_strait_mainland,2001,1900,1900,1900,,1,2,,,,,Y (Oct B),"Four inspections were done this year, beginning of peak was seen. Estimate rationale was not stated. Estimate is likely valid.","Coho estimate from observations during enterance, start and the beginning of the peak spawning period.",,4
east_arm,6,hecate_strait_mainland,2002,600,600,600,,12,1,,,,,N (Oct B),"Four inspections were done this year, peak was not seen. Estimate rationale was not stated. Estimate is likely valid, but could be switched to A/P.",Coho estimate from observation of 95% of watershed above falls with coho holding deeper pools. Conducted capture and mark sample of coho fry.,,3
east_arm,6,hecate_strait_mainland,2003,800,800,A/P,,1,1,,,,,N (Oct B),"Two inspections were done this year, peak was not seen. Estimate rationale was not stated. Estimate could be switched to A/P.","Escapement estimate for pink and chum from observations at peak of spawning period, for coho from observations of holding fish throughout creek. Checked to falls near lake and found last of holding coho in the open meadow reach about 1.5km downstream of falls. Coho juvenile survey completed this year again.",,2
east_arm,6,hecate_strait_mainland,2004,650,650,650,3,,,,,,,Y (Oct B),"No estimate method or classification provided. Unsure what was originally used to calculate the escapement. Three inspections were done and peak was seen, estimate was likely expert opinion.  Original escapement assessment is likely valid.","Coho estimate from holding fish through lower half and from few near riffles, middle reaches.",,3
east_arm,6,hecate_strait_mainland,2005,NA,A/P,A/P,2,,,,6,,6,N (Oct B),"Escapement estimate is valid. Peak timing was not seen, Only 2 streamwalks conducted, not enough inforrmation to generate an escapement estimate.",Observed 180 coho holding below falls and found indication of coho passing falls. ,,2
east_arm,6,hecate_strait_mainland,2006,NA,A/P,A/P,3,,,,6,,6,N (Oct B),"Escapement estimate is valid. Peak timing was not seen, not enough information to generate an escapement estimate.","Coho highest inspection count was 220, spawning had not started at the time of the last inspection. ",,3
east_arm,6,hecate_strait_mainland,2007,NA,A/P,A/P,2,,,,6,,6,N (Oct B),"Escapement estimate is valid. Peak timing was not seen, Only 2 streamwalks conducted, not enough information to generate an escapement estimate.","Coho - highest count 13. Observation from arrival, start, peak and end for pinks and chums.
Inspection to lower reaches suggest a weak return of coho to this system. Late fall water too high to carry out inspection of upper reaches for coho.",,3
east_arm,6,hecate_strait_mainland,2008,500,500,500,4,,,5,4,5,4,N (Oct B),"4 inspections done this year, all 4 used in estimate. Estimate was done by expert opinion, mainly based on the last inspection where 470 coho were seen. Peak was not seen, but the inspection used was done relatively close. Original estimate is likely valid.",The estimate for coho is mainly based on the last inspection (to the head waters at 9320 meters) of the system for a count of 470 scattered and holding throughout at the time. There was one section above the cascades at 9320 which was not inspected (has 3 or 4 holding sites) however checked the last holding site below this last passable cascade and saw only 1 coho.  Estimate few if any coho in section not inspected because of the poor return this year. In years of high abundance have found as many as a hundred above the last cascades. The estimate is considered to be for the total system.,,4
east_arm,6,hecate_strait_mainland,2009,1500,1500,1500,2,,,5,4,5,4,Y (Oct B),"Estimate method was an expert opinion, with a classification of 4. 6 inspections were done but only 2 were used to create estimate. Peak was seen however,  original escapement estimate is likely valid.","Coho estimate based on the  last two inspections, one count before spawning and one near the peak. Estimate is for the area inspected (to 8km), coho can get to 9320 meters. The estimate likely represents over 95% of the coho spawning. 
",,6
east_arm,6,hecate_strait_mainland,2010,NA,A/P,A/P,3,,,5,6,5,6,N (Oct B),"Escapement estimate is valid. Peak timing was not seen, not enough inofrmation to generate an escapement estimate.",Found coho on each inspection except the last one in October. During late September inspection found an estimated  675 coho holding over shallows off creek mouth and through estuary channel to pool above falls. ,,4
east_arm,6,hecate_strait_mainland,2011,770,770,770,5,,,5,3,5,3,Y (Oct B),"Estimate method was an expert opinion, with a classification of 3. 10 inspections were done but only 5 were used to create estimate. Peak was seen however,  original escapement estimate is likely valid.","Coho - Based on four counts between August 24th and Nov 4. Highest individual count was 575.
",,10
east_arm,6,hecate_strait_mainland,2012,425,425,425,4,,,3,3,3,3,Y (Oct B),"Estimate method was an AUC, the only one for East Arm Creek, with a classification of 4. AUC recalculation was done (Sheet 2). Observer efficiency and residency time were found from the estimate rationale. An escapement of 434 was calculated, 9 more than the Original AUC. This is likely due to the original leaving out the 2nd walk, where 38 Coho were seen. Visibility was moderate on this inspection, and countability was fair. It makes sense to leave out this walk, so original assessment is valid. However if leaving it out is an inappropriate practice, then estimate should be switched to the newly recalculated 434.","Coho -  Observations in stream during arrival and start of spawning period for Coho combined. An AUC calculation was done using the observations with a 90% Observer Efficiency and a 65 day Residency Time resulting in the estimate of 425. 
",434,5
east_arm,6,hecate_strait_mainland,2013,586,,A/P,,,,,,,6,,"No SILs or SENs available, estimate should be switched to A/P.",,,
east_arm,6,hecate_strait_mainland,2014,NA,N/I,N/I,,,,,6,,6,N (Oct B),"Coho were not inspected in 2014, original assessment is valid.",,,4
east_arm,6,hecate_strait_mainland,2015,350,350,350,2,,,5,5,1,5,Y (Oct B),"5 inspections done this year, with only 1 peak count being used for the estimate. Estimate stated was meant to be a minimum observed estimate. Estimate is likely valid, however an estimate method of 1 may be more appropriate, given that it was derived from a peak count.",One coho inspection was completed of the entire river on October 15. The count from this inspections was used as the 2015 annual escapement. The October 15 inspection would be close to having the majority to coho in the river holding in pools. Recording the minimum number of coho observed was preferred over stating Adults Present.,,5
east_arm,6,hecate_strait_mainland,2016,550,550,A/P,2,,,1,5,1,6,N (Oct B),"Original escapement estimate was peak live plus dead. However peak was not actually seen and the estimate stated was meant to be a minimum observed estimate. Recorded dead numbers are not available, highest live recorded was 546. Original escapement assessment could be switched to A/P.",The coho annual escapement is the actual count from October 11 when the entire system was inspected. Recording a minimum observed escapement was choosen over stating A/P.,,2
east_arm,6,hecate_strait_mainland,2017,NA,A/P,A/P,,,,,6,,6,N (Oct B),"Escapement estimate is valid. Peak timing was not seen, not enough inofrmation to generate an escapement estimate.",,,3
east_arm,6,hecate_strait_mainland,2018,95,95,95,2,,,5,5,1,5,Y (Oct B),"Estimate method was an expert opinion, with a classification of 5. Escapement was the actual number of coho observed on October 20.  Estimate stated was meant to be a minimum observed estimate, but it was a low resolution peak count. An estimate method of 1 may have been more appropriate. Original escapement assessment is likely valid.",The coho final escapement was the actual number of coho observed on October 20. Normally the majority of coho would be in the stream holding in pools by this date. Recording the minimum observed escapement was preferred over stating AP.,,4
east_arm,6,hecate_strait_mainland,2019,NA,,,,,,,,,,N (Oct B),No data available for 2019.,,,3
east_arm,6,hecate_strait_mainland,2020,NA,A/P,N/I,,,,,6,,6,N (Oct B),"Orignial estimate is valid, could be switched to N/I as the rationale stated that coho were not inspected this season.","No coho inspections were completed this season, coho recorded on SIL's were observed in the lower river.
",,3
east_arm,6,hecate_strait_mainland,2021,A/P,A/P,A/P,,,,,6,,6,N (Oct B),"No rationale stated, peak timing was missed. Original estimate of A/P is valid.",,,4
east_arm,6,hecate_strait_mainland,2022,A/P,A/P,A/P,,,,,6,,6,N (Oct B),"No rationale stated, peak timing was missed. Original estimate of A/P is valid.",,,2
east_arm,6,hecate_strait_mainland,2023,A/P,A/P,A/P,,,,,6,,6,N (Oct B),"No rationale stated, peak timing was missed. Original estimate of A/P is valid.",,,3
east_arm,6,hecate_strait_mainland,2024,,,,,,,,,,,,No data available for 2024.,,,
elcho,8,northern_coastal,1980,500,500,A/P,UNK,Plane / Helicopter / Walk,,,,,,N (NOV),"Coho were observed in 1/6 SILs (13 Sep) where 38 coho were observed. Though the comments on this SIL indicate the estimated total escapement to date as 500 (matches provided annual estimate), it is unclear how this estimate was generated. A numerical estimate, let alone one of this magnitude, does not seem appropriate due to the single observation and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV. The last survey was conducted on 13 Sep, it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",,,6
elcho,8,northern_coastal,1981,200,200,A/P,UNK,,,,,,,N (NOV),"Coho were observed in 2/9 SILs (Sep 15, 21) where 35 coho were observed in each. It is unclear how the annual estimate (200) was generated. A numerical estimate, let alone one of this magnitude, does not seem appropriate due to the single observation (likely same fish) and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV. The last survey was conducted on 21 Sep, it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",,,9
elcho,8,northern_coastal,1982,250,250,A/P,UNK,,,,,,,N (NOV),"Coho were observed in 1/6 SILs (14 Sep) where 6 coho were observed. Reportedly, the annual estimate (250) was generated ""by taking 1/3 of brood year escapement."" I am not very familiar with this method of estimation, but I would be inclined to recommend A/P over a numerical estimate due to the single observation and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV. The last survey was conducted on 14 Sep, it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",Above mentioned coho figure arrived at by taking 1/3 of brood year escapement. Rock slide at top end of stream has totally blocked fish passage to the lake.,,6
elcho,8,northern_coastal,1983,750,750,A/P,UNK,,,,,,,N (DEC),"Coho were observed in 1/10* SILs (20 Sep*) where 34 coho were observed. It is unclear how the annual estimate (750) was generated. A numerical estimate, let alone one of this magnitude,  does not seem appropriate due to the single observation and incomplete survey coverage of run timing. The SEN indicates peak timing as DEC. The last survey was conducted on 30 Sep (N/O) it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",,,10*
elcho,8,northern_coastal,1984,500,500,A/P,UNK,"C, F",C-,,,,,N (DEC B),"While the SEN indicates an annual estimate of 500, there are no SILs available for this year. The SEN reports the first inspection date as 25 Jul, the final inspection being on 30 Sep, with 11 inspections in between for a total of 13 surveys. Without SIL data, it is difficult to comment on the viability of the annual estimate beyond to state that peak timing (DEC B) was not captured and the reliability score recorded is C- (below 'Low'). Recommend changing annual estimate to A/P until SILs can be consulted and a review of the annual estimate can be done.",,,UNK
elcho,8,northern_coastal,1985,75,75,A/P,1,,,,,,,N (NOV C),"Coho were observed in 1/11 SILs (1 Oct). Comments on this SIL indicate that there were numerous carcasses observed, but there was no attempt to count them. It is unclear how the annual estimate (75) was generated, though it was likely an expansion of the 1 Oct observed total count of 38. A numerical estimate may not be appropriate due to the single observation and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV C. The last survey was conducted on 1 Oct, it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",,,11
elcho,8,northern_coastal,1986,NA,11,A/P,1,Plane / Walk / Other,1,,,,,N (NOV C),"Coho were observed in 1/11* SILs (26 Sep). Annual Est. Rationale notes that while coho were present, inspections were not made late enough in the season. A numerical estimate is likely not appropriate due to the single observation with small showing (11 total for the season) and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV C. The last survey was conducted on 26 Sep, it is unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.","Coho fry observed. Coho present, inspections not made late enough in the season.",,11*
elcho,8,northern_coastal,1987,NA,Present,A/P,8,Walk / Other,,,,,,N (NOV C),"Coho were observed in 2/8 SILs (Sep 6, 22), but only counted in small single digits. Annual Est. Rationale notes that no inspections specific to coho were made this season. A numerical estimate is likely not appropriate due to the small showing (3 total for the season) and incomplete survey coverage of run timing. The SEN indicates peak timing as NOV C. The last survey was conducted on 26 Oct (N/O), it is unlikely that peak was captured during the survey period. Recommend changing annual estimate from ""present"" to A/P.",No coho inspections were made this season.,,8
elcho,8,northern_coastal,1988,NA,N/O,A/P,13,1,LOW,,,,,UNK (NOV),"Coho counts are not provided in any of the stream inspections conducted this year (Aug 1 - Oct 19), but the 19 Oct SIL indicates the estimated total to date as 'present'. It should be noted that Annual Est. Rationale indicates a coho inspection on 9 Nov (N/O) that does not have a corresponding SIL. Peak timing is not indicated in the SEN or mentioned in any comments. Using the stream catalogue, peak spawning is in NOV. Since the last survey was reportedly conducted on 9 Nov, peak may be captured but no coho were observed so coverage of peak is unclear. Recommend changing annual estimate from N/O to A/P.","Coho inspection made on Nov. 9, walked to braided section, no coho were observed.",,13
elcho,8,northern_coastal,1989,NA,N/I,A/P,9,,,,,,,N (NOV),"According to the SEN, coho were not inspected this year. However, coho counts are provided in 2/9 SILs (Sep 10, 23). Even if coho were not specifically inspected this year, the provided counts clearly indicate spawners were present in the system. Peak timing is not indicated in the SEN, or mentioned in any comments. Using the stream catalogue, peak timing is in NOV. It seems unlikely that peak was captured during the survey period as the final survey of the season was conducted on 26 Sep. Recommend changing annual estimate to A/P.",No coho inspections made this season.,,9
elcho,8,northern_coastal,1990,NA,N/I,N/I,,Other,,,,,,,"According to the SEN, coho were not inspected this year. While the system was inspected 8* times, no coho counts are provided, nor are coho mentioned in any comments. It is unclear if there were not spawners present or if they were simply not counted.",No coho inspections made this season.,,8*
elcho,8,northern_coastal,1991,1100,1100,1100,1,1,2,,,,,N (NOV),"Coho were observed in 3/11* SILs (Sep 17*, Oct 3*, 14*). The comments from the 14 Oct SIL indicate that the surveyors estimated 900 total coho which was expanded to an estimated total to date of 1100 (matches provided annual estimate). The SEN indicates peak timing as NOV. The last survey was conducted on 14 Oct, it is unlikely that peak was captured during the survey period.",,,11*
elcho,8,northern_coastal,1992,200,200,200,UNK,1,2,,,,,N (NOV),"Coho were observed in 3/11* SILs (Sep 18, 19, Oct 7*). The comments from the 7 Oct survey indicate that the estimated total to date is 200 (matches provided annual estimate), but there is no indication of how this estimate was generated. The SEN indicates peak timing as NOV. The last survey was conducted on 7 Oct, it is unlikely that peak was captured during the survey period.",,,11*
elcho,8,northern_coastal,1993,NA,45,A/P,UNK,1,1,,,,,N,"The SEN indicates coho annual estimate as 45, however, the SIL available this year (14 Sep) does not report any coho counts. Annual Est. Rationale states that ""coho enumeration was too early for any accurate numbers"" which may imply that there were spawners in the system that simply weren't counted. Recommend review to determine appropriate estimate, in the meantime, recommend changing annual estimate to A/P.",Coho enumeration was too early for any accurate numbers. The number recorded for coho was what was counted during inspections only.,,1
elcho,8,northern_coastal,1994,NA,N/I,N/I,,,,,,,,,"No SILs available this year, it is likely the system was not inspected.",,,
elcho,8,northern_coastal,1995,NA,UNK,A/P,4,Walk,,,,,,N (NOV),"Coho were observed in 1/4 SILs (17 Sep). It should be noted that the reported coho count on the 17 Sep SIL is in contradiction with the Annual Est. Rationale which states there were 50 coho counted on the same date. There is no numerical estimate this year, which seems appropriate due to the single observation and incomplete survey coverage of run timing. Peak timing is not indicated in the SEN, or mentioned in any comments. Using the stream catalogue, peak timing is in NOV. It seems unlikely that peak was captured during the survey period as the final survey of the season was conducted on 17 Sep.  Recommend changing annual estimate from UNK to A/P.",Counted 50 coho on Sep 17.,,4
elcho,8,northern_coastal,1996,NA,,A/P,5,Float / Walk,,,,,,N (NOV),"Coho were observed in 1/5 SILs (11 Sep). There is no annual estimate provided on the SEN, and a numerical estimate may not be appropriate due to only a single observation and poor survey coverage of run timing. Peak timing is not indicated in the SEN, or mentioned in any comments. Using the stream catalogue, peak timing is in NOV. It seems unlikely that peak was captured during the survey period as the final survey of the season was conducted on 11 Sep.  Recommend changing annual estimate to A/P.",,,5
elcho,8,northern_coastal,1997,NA,N/I,A/P,6,Walk,,,,,,N (NOV),"According to the SEN, coho were not inspected this year. However, coho counts are provided in 2/6 SILs (Sep 18, 25). Even if coho were not specifically inspected this year, the provided counts clearly indicates spawners were present in the system. Peak timing is not indicated in the SEN, or mentioned in any comments. Using the stream catalogue, peak timing is in NOV. It seems unlikely that peak was captured during the survey period as the final survey of the season was conducted on 5 Oct (no coho count provided).  Recommend changing annual estimate to A/P.",,,6
elcho,8,northern_coastal,1998,200,300,A/P,1,Walk / Plane,,,,,,Y (OCT C),"Coho were observed in 4/13 SILs (Aug 29, Sep 16, Oct 2, 21). It is unclear how the annual estimate (NuSEDs - 200; SEN - 300) was generated, though surveyors note that as of 21 Oct 200 coho were estimated. Peak timing is indicated in the SEN as OCT C, during which there was a survey conducted (21 Oct). It seems likely that peak was captured during the survey period.  Recommend review to determine which annual estimate should be used, and in the meantime recommend changing annual estimate to A/P.",More effort was directed at Coho enumeration this year. The escapement is a best guess given the fact that coho are difficult to count and may spawn over a long period of time. Individual counts were conducted as follows: Aug 29 - 1 coho estimated; Sep 16 - 20 coho estimated; Oct 2 - 75 coho estimated; Oct 21 - 200 coho estimated. One pool 800m up is filling in as compared to observations 5 years ago. Coho were seen throughout but most coho were seen near the top end. Coho fry throughout the system. ,,13
elcho,8,northern_coastal,1999,NA,UNK,A/P,5,Plane / Walk,1,,,,,N (NOV),"Coho were observed in 3/5 SILs (Aug 31, Sep 11, 19). There is no numerical estimate this year, which seems appropriate due to the small showing (max count 9) and incomplete survey coverage of run timing. Peak timing is not indicated in the SEN, and not mentioned in any comments. Using the stream catalogue, peak timing is in NOV. Since the last survey was conducted on 19 Sep, it seems unlikely that peak was capptured during the survey period.  Recommend changing annual estimate to A/P.",,,5
elcho,8,northern_coastal,2000,NA,150,A/P,UNK,Plane / Walk / Float,1,,,,,N (OCT C),"Coho were observed in 4/8 SILs (Aug 30, Sep 14, Oct 2, 14). It is unclear how the annual estimate (150) was generated, though a designation of A/P may be more appropriate due to the small showing (max count 16) and incomplete survey coverage of run timing. Peak timing is indicated in the SEN as OCT C, which is after the last survey was conducted on 14 Oct. It seems unlikely that peak was captured during the survey period. Recommend changing annual estimate to A/P.",,,8
elcho,8,northern_coastal,2001,NA,UNK,A/P,6,Walk / Helicopter,2,,,,,N (NOV),"Coho were observed in 3/6 SILs (Aug 18, Sep 5, Oct 10). There is no numerical estimate this year, which seems appropriate due to the small showing (max count 14) and incomplete survey coverage of run timing. Peak timing is not indicated on the SEN or mentioned in any comments. Using the stream catalogue, peak spawning is in NOV. Since the last survey was conducted on 10 Oct, it seems unlikely that peak was captured during the survey period. Recommend changing annual estimate from UNK to A/P.",,,6
elcho,8,northern_coastal,2002,1800,1800,1800,1,Plane / Walk / Helicopter,3,,,,,N (NOV),"Coho were observed in 5/8 SILs (Sep 5, 21, 27, 30, Oct 19). It is unclear how the annual estimate (1800) was generated, though it may be an expansion of the observed total from 19 Oct (1582). Peak timing is not indicated on the SEN or mentioned in any comments. Using the stream catalogue, peak spawning is in NOV. Since the last survey was conducted on 19 Oct, it seems unlikely that peak was captured during the survey period. ",,,8
elcho,8,northern_coastal,2003,1050,1050,1050,UNK,Plane / Walk / Helicopter,3,,,,,UNK (NOV),"Coho were observed in 5/8* SILs (Aug 22, Sep 6*, Sep 12, Oct 5, Nov 14). It is unclear how the annual estimate (1050) was generated, though it may be an expansion of the observed total from 5 Oct (1012). Peak timing is not indicated on the SEN or mentioned in any comments. Using the stream catalogue, peak spawning is in NOV. There was a survey conducted on 14 Nov, though it is unclear if this was used to generate the estimate.",,,8*
elcho,8,northern_coastal,2004,1200,1200,1200,1,Streamwalk / Plane / Helicopter / Other,,1,4,5 or 12,,N,"Coho were observed in 8/11 SILs (Aug 1, 21, 24, Sep 10, 27, 28, Oct 18, Nov 11). The annual estimate (1200) was generated from the 18 Oct survey and represents the estimated total adult live from this inspection. Likely classified as Medium Resolution due to poor survey coverage of spawning period (reportedly coho still holding when final survey was conducted on 11 Nov). Very few spawners indicated on any SILs indicates peak spawning was likely missed, Peak Live Plus Dead is likely not a viable method to estimate annual escapement. Recommend change in method to ""Expert Opinion"" or ""Other"".","Coho were present holding for a long period of time.  The escapement estimate was from the Oct 18 inspection of coho holding at the beginning of the spawn.  This estimate is conservative as there were still fish observed holding outside the stream.  Plus, a flight of the system in mid-November observed coho holding in the upper sections.  Without more frequent inspections, it was assumed that these fish were the same fish as observed in October.",,11
elcho,8,northern_coastal,2005,900,900,900,2,Streamwalk / Plane / Bank Walk,,12,4,1 or 5,,N (DEC A),"Coho were observed in 8/9 SILs (Aug 5, 13, 25, Sep 10, 16, 27, Oct 21, Nov 27). The annual estimate (900) was generated from a combination of the 21 Oct and 27 Nov surveys. The estimated number of new fish from the 27 Nov SIL (300) was added to the estimated adult live total from the prior survey on 21 Oct (600) to produce the annual estimate of 900. Peak timing is indicated in the SEN as DEC A, the last survey was conducted on 27 Nov. Peak spawning was likely missed this year. Estimate method is indicated as ""Other"", maybe ""Expert Opinion"" or ""Peak Live Plus Dead"" would be a better fit.","As in previous years, coho were present and holding for a long period of time.  On October 21 there were 600 coho holding throughout the system.  A later walk on November 27 reported 700 coho holding and 120 unoccupied redds (based on conservative spacing).  Of the 700 coho holding, 300 were estimated as new since the last inspection.  Therefore, the escapement estimate was from the October 21 number  of coho holding (600) + the November 27 number new (300) = 900.  This estimate should be viewed as conservative b/c an unknown number of coho did make it above the falls (September 16 and November 28 inspections). ",,9
elcho,8,northern_coastal,2006,540,540,540,2,Streamwalk / Bank Walk,,12,4,5,,N (NOV A),"Coho were observed in 7/9 SILs (Aug 19, 26, Sep 4, 22, Oct 3, 10, Nov 23). The annual estimate (540) was generated by adding the estimated number of new fish on 23 Nov (66) was added to the estimated total of both live and dead coho from the prior survey on 10 Oct (475). Peak timing is indicated in the SEN as NOV A, there were no surveys conducted within this period. Peak spawning was likely missed this year. Estimate method is indicated as ""Other"", maybe ""Expert Opinion"" would be a better fit.","A conservative index of escapement was available for coho this year.  This has been done in previous years, but usually by enumerating holding fish between early October and mid-November.  This year, during an inspection on October 10, coho were observed holding, spawning, and dead.  There was an estimated total of 450 holding (a few of which were spawning), and 25 dead.  Another inspection was conducted late in the spawn (November 23) to enumerate coho.  Ralph Nelson (Charter Patrol) observed 207 coho spawning and holding and estimated 240 in total.  It was difficult to get a good feeling for new fish b/c of the long duration between inspections, but Ralph estimated that there were 66 new fish.  The total coho escapement for 2006 was determined by adding the number of new fish on November 23 to those counted on October 10.",,9
elcho,8,northern_coastal,2007,850,850,850,2,Float (Boat) / Bank Walk / Streamwalk / Plane,,12,3,5,,N (DEC A),"Coho were observed in 8/13 SILs (Aug 2, 28, Sep 9, 15, 22, Oct 25, Nov 20, 26). The annual estimate (850) was generated as a combination of two foot surveys. The estimated total from 25 Oct (600) was added to the estimated new (250) from 26 Nov. The surveyors note that the provided annual estimate is not for the entire system as the portion above the falls was not inspected and it is unknown how many coho ascend the falls. Viewing conditions and estimate reliability varied considerably throughout the season. The SEN indicates peak spawning as occuring in DEC A. Since the last survey was conducted on 26 Nov, it is unlikely that peak spawning was captured. Recommend changing estimate method from ""Other"" to ""Expert Opinion"".","No coho and sockeye enumeration possible above falls this year. Coho are known to ascend these falls; it is possible that sockeye might also, but this is not known (so recorded entire stream estimate as ""no"").

The coho escapement was a combination two foot surveys.  During a walk on October 25, there were 406 coho observed and a total of 600 estimated.  Countability was fair (high water and snow), but Ralph Nelson (Charter Patrol) expanded his count based on experience and knowledge of the typical coho distribution.  An opportunistic flight on November 20 oberved 420 fish holding, which was later confirmed by a foot survey on November 26, when 554 were observed with a total of 620 estimated.  Ralph Nelson estimated that 250 fish were new since the last inspection in October.  Based on this, the annual escapement was 600 (October 25) + 250 (November 26).  This estimate was not for the entire system, as the area above the falls was not enumerated.  It is unknown just how many coho ascend the falls and spawn below/above the lake.",,13
elcho,8,northern_coastal,2008,500,500,500,2,Streamwalk / Plane / Bank Walk,,5,4,,,UNK (NOV C),"Coho were observed in 7/9 SILs* (Aug 6, 15, 31, Sep 7, 15, Oct 11, Nov 21). The surveyors note that only the final 2 inspections (11 Oct, 21 Nov) were used to generate the annual estimate (500), but the conditions were fair at best and there was too long a gap between them (evidence of spawning and die off between the surveys). Peak timing is not indicated in the SEN, but there is an estimate of NOV C provided on the final SIL. It would seem there was a survey conducted at peak (21 Nov), but the comments available in Annual Est. Rationale indicate that perhaps peak was missed. It is unclear whether peak spawning was captured.","One SIL is a flight done on the same day as a walk, of which the  latter was used in the estimate (greater accuracy).
Coho were seen 7 times but only the last 2 inspections were useful in making an estimate. Conditions for the two counts were at best fair and the gap between them too long with evidence that spawning and die off had occurred prior to the last inspection. Estimate should be considered a minimum.",,9
